SEQUENCE1,SEQUENCE2,SEQUENCE3,SEQUENCE4,ORG,OBJ,PROJECT,ACCOUNT,ACCOUNT DESCRIPTION,TYPE,ORIGINAL APPROP
1000,0,0,550100,10000005,550100,,1000-00-00-0000-000000-996001-000-550100-,Fund Transfers,E,0
1000,0,0,598000,1000,598000,,1000-00-00-0000-000000-000000-000-598000-,Converted Expense,E,0
1000,0,9010,521910,10000170,521910,,1000-00-13-9010-901001-000000-000-521910-,Misc Contractual Services,E,0
1000,0,9010,521910,10000200,521910,,1000-00-13-9010-901024-000000-000-521910-,Misc Contractual Services,E,50000
1000,0,9010,521910,10000350,521910,,1000-00-61-9010-901002-000000-000-521910-,Misc Contractual Services,E,141008
1000,0,9010,521910,10000360,521910,,1000-00-61-9010-901020-000000-000-521910-,Misc Contractual Services,E,2940823
1000,0,9010,521910,10000380,521910,,1000-00-61-9010-901025-000000-000-521910-,Misc Contractual Services,E,2500
1000,0,9010,521910,10000390,521910,,1000-00-61-9010-901026-000000-000-521910-,Misc Contractual Services,E,40000
1000,0,9010,521910,10006001,521910,,1000-00-61-9010-901021-000000-000-521910-,Misc Contractual Services,E,333977
1000,0,9010,529050,10000160,529050,,1000-00-13-9010-901000-000000-000-529050-,"Dues,Subscr, & Prof Lic",E,313119
1000,0,9010,529050,10000180,529050,,1000-00-13-9010-901003-000000-000-529050-,"Dues,Subscr, & Prof Lic",E,175542
1000,0,9020,520950,10000210,520950,,1000-00-13-9020-902001-000000-000-520950-,City-Cnty Consol Acts,E,1826529
1000,0,9020,520950,10000220,520950,,1000-00-13-9020-902002-000000-000-520950-,City-Cnty Consol Acts,E,1040864
1000,0,9020,520950,10000320,520950,,1000-00-50-9020-902000-000000-000-520950-,City-Cnty Consol Acts,E,1664326
1000,0,9030,521900,10000470,521900,,1000-00-80-9030-903002-000000-000-521900-,Fees - Other,E,4539291
1000,0,9030,550100,10000060,550100,,1000-00-00-9030-903000-993000-000-550100-,Fund Transfers,E,16182983
1000,0,9030,550100,10000070,550100,,1000-00-00-9030-903001-991001-000-550100-,Fund Transfers,E,4261000
1000,0,9030,550100,10000080,550100,,1000-00-00-9030-903003-994000-000-550100-,Fund Transfers,E,15500000
1000,0,9040,520110,10000130,520110,,1000-00-11-9040-904004-000000-000-520110-,M&R Equipment,E,275000
1000,0,9040,520110,10000480,520110,,1000-00-80-9040-904005-000000-000-520110-,M&R Equipment,E,5150
1000,0,9040,520120,10000480,520120,,1000-00-80-9040-904005-000000-000-520120-,M&R-Buildings,E,6000
1000,0,9040,520130,10000500,520130,,1000-00-80-9040-904014-000000-000-520130-,ISP M&R-Bldg Renov and Cons,E,156317
1000,0,9040,520140,10000480,520140,,1000-00-80-9040-904005-000000-000-520140-,ISP M&R-Land & Water Areas,E,10105
1000,0,9040,520230,10000260,520230,,1000-00-13-9040-904015-000000-000-520230-,Pro Fee-Acctng&Audtng,E,66000
1000,0,9040,521120,10000420,521120,,1000-00-61-9040-904006-000000-000-521120-,Grants,E,2213465
1000,0,9040,521140,10000330,521140,,1000-00-50-9040-904020-000000-000-521140-,Grants-Not City Owned,E,3400
1000,0,9040,521900,10000300,521900,,1000-00-42-9040-904000-000000-000-521900-,Fees - Other,E,82410
1000,0,9040,521900,10000400,521900,,1000-00-61-9040-904001-000000-000-521900-,Fees - Other,E,4409919
1000,0,9040,521900,10000480,521900,,1000-00-80-9040-904005-000000-000-521900-,Fees - Other,E,0
1000,0,9040,521910,10000230,521910,,1000-00-13-9040-904003-000000-000-521910-,Misc Contractual Services,E,0
1000,0,9040,521910,10000240,521910,,1000-00-13-9040-904009-000000-000-521910-,Misc Contractual Services,E,300000
1000,0,9040,521910,10000250,521910,,1000-00-13-9040-904013-000000-000-521910-,Misc Contractual Services,E,84000
1000,0,9040,521910,10000300,521910,,1000-00-42-9040-904000-000000-000-521910-,Misc Contractual Services,E,40000
1000,0,9040,521910,10000410,521910,,1000-00-61-9040-904002-000000-000-521910-,Misc Contractual Services,E,2993069
1000,0,9040,521910,10000420,521910,,1000-00-61-9040-904006-000000-000-521910-,Misc Contractual Services,E,0
1000,0,9040,521910,10000440,521910,,1000-00-61-9040-904016-000000-000-521910-,Misc Contractual Services,E,20000
1000,0,9040,521910,10000450,521910,,1000-00-61-9040-904019-000000-000-521910-,Misc Contractual Services,E,725846
1000,0,9040,521910,10000480,521910,,1000-00-80-9040-904005-000000-000-521910-,Misc Contractual Services,E,301415
1000,0,9040,521910,10001001,521910,,1000-00-13-9040-904022-000000-000-521910-,Misc Contractual Services,E,400000
1000,0,9040,522210,10000480,522210,,1000-00-80-9040-904005-000000-000-522210-,Specialty Departmental Supplie,E,5400
1000,0,9040,522220,10000480,522220,,1000-00-80-9040-904005-000000-000-522220-,Equipment Maintenance,E,500
1000,0,9040,522250,10000230,522250,,1000-00-13-9040-904003-000000-000-522250-,Technology Services,E,0
1000,0,9040,522500,10000480,522500,,1000-00-80-9040-904005-000000-000-522500-,Telecommunications,E,3400
1000,0,9040,522510,10000480,522510,,1000-00-80-9040-904005-000000-000-522510-,ISP Telecommunications,E,1780
1000,0,9040,522520,10000300,522520,,1000-00-42-9040-904000-000000-000-522520-,Utilities,E,10573902
1000,0,9040,522520,10000480,522520,,1000-00-80-9040-904005-000000-000-522520-,Utilities,E,23704
1000,0,9040,523500,10000480,523500,,1000-00-80-9040-904005-000000-000-523500-,Licenses And Taxes,E,450
1000,0,9040,523510,10000140,523510,,1000-00-11-9040-904008-000000-000-523510-,Highway Use Tax,E,200000
1000,0,9040,524010,10000490,524010,,1000-00-80-9040-904012-000000-000-524010-,ISP Rental of Land & Buildings,E,10646
1000,0,9040,529020,10000480,529020,,1000-00-80-9040-904005-000000-000-529020-,Training Conf & Meetings,E,500
1000,0,9040,529030,10000300,529030,,1000-00-42-9040-904000-000000-000-529030-,Postage,E,1030
1000,0,9040,529040,10000300,529040,,1000-00-42-9040-904000-000000-000-529040-,Printing & Publishing,E,275
1000,0,9040,529050,10000250,529050,,1000-00-13-9040-904013-000000-000-529050-,"Dues,Subscr, & Prof Lic",E,12840
1000,0,9040,529050,10000480,529050,,1000-00-80-9040-904005-000000-000-529050-,"Dues,Subscr, & Prof Lic",E,75
1000,0,9040,540110,10000280,540110,,1000-00-13-9040-904021-000000-000-540110-,Interest Payments,E,0
1000,0,9040,550100,10000003,550100,,1000-00-00-9040-904015-996160-000-550100-,Fund Transfers,E,750000
1000,0,9040,550100,10000100,550100,,1000-00-00-9040-904010-992600-000-550100-,Fund Transfers,E,345000
1000,0,9040,550100,10000110,550100,,1000-00-00-9040-904018-992003-000-550100-,Fund Transfers,E,1268871
1000,0,9040,570200,10000230,570200,,1000-00-13-9040-904003-000000-000-570200-,Unexpendable Appropriations,E,1050000
1000,0,9040,570200,10000430,570200,,1000-00-61-9040-904007-000000-000-570200-,Unexpendable Appropriations,E,300000
1000,0,9040,570200,10001002,570200,,1000-00-13-9040-904011-000000-000-570200-,Unexpendable Appropriations,E,200000
1000,10,1010,510150,10000510,510150,,1000-10-13-1010-000000-000000-000-510150-,Salary & Wage - Temp,E,223966
1000,10,1010,510190,10000510,510190,,1000-10-13-1010-000000-000000-000-510190-,Salary & Wages-Part-Time,E,0
1000,10,1010,510195,10000510,510195,,1000-10-13-1010-000000-000000-000-510195-,Employee Merit Pay,E,6719
1000,10,1010,515130,10000510,515130,,1000-10-13-1010-000000-000000-000-515130-,Social Security Tax,E,29424
1000,10,1010,515150,10000510,515150,,1000-10-13-1010-000000-000000-000-515150-,Empl Insurance Premium,E,77844
1000,10,1010,515160,10000510,515160,,1000-10-13-1010-000000-000000-000-515160-,Retiree Insurance Premium,E,13484
1000,10,1010,515200,10000510,515200,,1000-10-13-1010-000000-000000-000-515200-,Othr Empl Fringe Bnfts,E,159800
1000,10,1010,520030,10000510,520030,,1000-10-13-1010-000000-000000-000-520030-,Uniforms-Prot Clothing,E,0
1000,10,1010,520050,10000510,520050,,1000-10-13-1010-000000-000000-000-520050-,Auto & Othr Allowances,E,0
1000,10,1010,520060,10000510,520060,,1000-10-13-1010-000000-000000-000-520060-,Meals and Subsistence,E,0
1000,10,1010,520220,10000510,520220,,1000-10-13-1010-000000-000000-000-520220-,Prof & Technical Services,E,0
1000,10,1010,520250,10000510,520250,,1000-10-13-1010-000000-000000-000-520250-,Management Fees,E,0
1000,10,1010,521900,10000510,521900,,1000-10-13-1010-000000-000000-000-521900-,Fees - Other,E,0
1000,10,1010,521910,10000510,521910,,1000-10-13-1010-000000-000000-000-521910-,Misc Contractual Services,E,64298
1000,10,1010,522210,10000510,522210,,1000-10-13-1010-000000-000000-000-522210-,Specialty Departmental Supplie,E,2000
1000,10,1010,522240,10000510,522240,,1000-10-13-1010-000000-000000-000-522240-,Office Supplies,E,6000
1000,10,1010,522490,10000510,522490,,1000-10-13-1010-000000-000000-000-522490-,Other Materials/Supplies,E,0
1000,10,1010,522500,10000510,522500,,1000-10-13-1010-000000-000000-000-522500-,Telecommunications,E,20919
1000,10,1010,522510,10000510,522510,,1000-10-13-1010-000000-000000-000-522510-,ISP Telecommunications,E,6197
1000,10,1010,524020,10000510,524020,,1000-10-13-1010-000000-000000-000-524020-,Rental Of Equipment,E,0
1000,10,1010,529000,10000510,529000,,1000-10-13-1010-000000-000000-000-529000-,Travel & Meetings,E,92300
1000,10,1010,529030,10000510,529030,,1000-10-13-1010-000000-000000-000-529030-,Postage,E,1250
1000,10,1010,529040,10000510,529040,,1000-10-13-1010-000000-000000-000-529040-,Printing & Publishing,E,13200
1000,10,1010,529050,10000510,529050,,1000-10-13-1010-000000-000000-000-529050-,"Dues,Subscr, & Prof Lic",E,10260
1000,10,1010,529999,10000510,529999,,1000-10-13-1010-000000-000000-000-529999-,Pcard expense - unallocated,E,0
1000,10,1011,510100,10000520,510100,,1000-10-13-1011-101110-000000-000-510100-,Salaries & Wages - Regular,E,535524
1000,10,1011,510150,10000520,510150,,1000-10-13-1011-101110-000000-000-510150-,Salary & Wage - Temp,E,2400
1000,10,1011,510195,10000520,510195,,1000-10-13-1011-101110-000000-000-510195-,Employee Merit Pay,E,11097
1000,10,1011,515130,10000520,515130,,1000-10-13-1011-101110-000000-000-515130-,Social Security Tax,E,41698
1000,10,1011,515140,10000520,515140,,1000-10-13-1011-101110-000000-000-515140-,Empl Retirement Expns,E,39081
1000,10,1011,515150,10000520,515150,,1000-10-13-1011-101110-000000-000-515150-,Empl Insurance Premium,E,57874
1000,10,1011,515190,10000520,515190,,1000-10-13-1011-101110-000000-000-515190-,401K Retirement,E,13302
1000,10,1011,515200,10000520,515200,,1000-10-13-1011-101110-000000-000-515200-,Othr Empl Fringe Bnfts,E,2666
1000,10,1011,520050,10000520,520050,,1000-10-13-1011-101110-000000-000-520050-,Auto & Othr Allowances,E,300
1000,10,1011,521910,10000520,521910,,1000-10-13-1011-101110-000000-000-521910-,Misc Contractual Services,E,9512
1000,10,1011,522210,10000520,522210,,1000-10-13-1011-101110-000000-000-522210-,Specialty Departmental Supplie,E,0
1000,10,1011,522240,10000520,522240,,1000-10-13-1011-101110-000000-000-522240-,Office Supplies,E,1050
1000,10,1011,522500,10000520,522500,,1000-10-13-1011-101110-000000-000-522500-,Telecommunications,E,5900
1000,10,1011,524010,10000520,524010,,1000-10-13-1011-101110-000000-000-524010-,ISP Rental of Land & Buildings,E,51809
1000,10,1011,529000,10000520,529000,,1000-10-13-1011-101110-000000-000-529000-,Travel & Meetings,E,7000
1000,10,1011,529010,10000520,529010,,1000-10-13-1011-101110-000000-000-529010-,Empl Reimb Training Exp,E,6000
1000,10,1011,529020,10000520,529020,,1000-10-13-1011-101110-000000-000-529020-,Training Conf & Meetings,E,2728
1000,10,1011,529030,10000520,529030,,1000-10-13-1011-101110-000000-000-529030-,Postage,E,200
1000,10,1011,529040,10000520,529040,,1000-10-13-1011-101110-000000-000-529040-,Printing & Publishing,E,125
1000,10,1011,529050,10000520,529050,,1000-10-13-1011-101110-000000-000-529050-,"Dues,Subscr, & Prof Lic",E,736
1000,11,1110,510100,10000560,510100,,1000-11-13-1110-111010-000000-000-510100-,Salaries & Wages - Regular,E,1575104
1000,11,1110,510140,10000560,510140,,1000-11-13-1110-111010-000000-000-510140-,Overtime,E,0
1000,11,1110,510150,10000560,510150,,1000-11-13-1110-111010-000000-000-510150-,Salary & Wage - Temp,E,56974
1000,11,1110,510195,10000560,510195,,1000-11-13-1110-111010-000000-000-510195-,Employee Merit Pay,E,32193
1000,11,1110,515130,10000560,515130,,1000-11-13-1110-111010-000000-000-515130-,Social Security Tax,E,128605
1000,11,1110,515140,10000560,515140,,1000-11-13-1110-111010-000000-000-515140-,Empl Retirement Expns,E,118270
1000,11,1110,515150,10000560,515150,,1000-11-13-1110-111010-000000-000-515150-,Empl Insurance Premium,E,78353
1000,11,1110,515160,10000560,515160,,1000-11-13-1110-111010-000000-000-515160-,Retiree Insurance Premium,E,74162
1000,11,1110,515190,10000560,515190,,1000-11-13-1110-111010-000000-000-515190-,401K Retirement,E,49835
1000,11,1110,515200,10000560,515200,,1000-11-13-1110-111010-000000-000-515200-,Othr Empl Fringe Bnfts,E,67849
1000,11,1110,520050,10000560,520050,,1000-11-13-1110-111010-000000-000-520050-,Auto & Othr Allowances,E,7100
1000,11,1110,520110,10000560,520110,,1000-11-13-1110-111010-000000-000-520110-,M&R Equipment,E,1109
1000,11,1110,520210,10000560,520210,,1000-11-13-1110-111010-000000-000-520210-,Advertising,E,1000
1000,11,1110,520250,10000570,520250,,1000-11-13-1110-111020-000000-000-520250-,Management Fees,E,0
1000,11,1110,521910,10000550,521910,,1000-11-00-1110-111010-000000-000-521910-,Misc Contractual Services,E,0
1000,11,1110,521910,10000560,521910,,1000-11-13-1110-111010-000000-000-521910-,Misc Contractual Services,E,25795
1000,11,1110,522210,10000560,522210,,1000-11-13-1110-111010-000000-000-522210-,Specialty Departmental Supplie,E,500
1000,11,1110,522240,10000560,522240,,1000-11-13-1110-111010-000000-000-522240-,Office Supplies,E,1650
1000,11,1110,522250,10000560,522250,,1000-11-13-1110-111010-000000-000-522250-,Technology Services,E,7975
1000,11,1110,522490,10000570,522490,,1000-11-13-1110-111020-000000-000-522490-,Other Materials/Supplies,E,0
1000,11,1110,522500,10000560,522500,,1000-11-13-1110-111010-000000-000-522500-,Telecommunications,E,23686
1000,11,1110,522510,10000560,522510,,1000-11-13-1110-111010-000000-000-522510-,ISP Telecommunications,E,5834
1000,11,1110,524010,10000560,524010,,1000-11-13-1110-111010-000000-000-524010-,ISP Rental of Land & Buildings,E,78210
1000,11,1110,529000,10000560,529000,,1000-11-13-1110-111010-000000-000-529000-,Travel & Meetings,E,109242
1000,11,1110,529010,10000560,529010,,1000-11-13-1110-111010-000000-000-529010-,Empl Reimb Training Exp,E,0
1000,11,1110,529020,10000560,529020,,1000-11-13-1110-111010-000000-000-529020-,Training Conf & Meetings,E,8500
1000,11,1110,529030,10000560,529030,,1000-11-13-1110-111010-000000-000-529030-,Postage,E,1300
1000,11,1110,529040,10000560,529040,,1000-11-13-1110-111010-000000-000-529040-,Printing & Publishing,E,4568
1000,11,1110,529050,10000550,529050,,1000-11-00-1110-111010-000000-000-529050-,"Dues,Subscr, & Prof Lic",E,0
1000,11,1110,529050,10000560,529050,,1000-11-13-1110-111010-000000-000-529050-,"Dues,Subscr, & Prof Lic",E,20626
1000,11,1110,529999,10000560,529999,,1000-11-13-1110-111010-000000-000-529999-,Pcard expense - unallocated,E,0
1000,11,1110,560100,10000560,560100,,1000-11-13-1110-111010-000000-000-560100-,Departmental Charges,E,-13380
1000,11,1120,510100,10000580,510100,,1000-11-13-1120-000000-000000-000-510100-,Salaries & Wages - Regular,E,1182864
1000,11,1120,510140,10000580,510140,,1000-11-13-1120-000000-000000-000-510140-,Overtime,E,0
1000,11,1120,510195,10000580,510195,,1000-11-13-1120-000000-000000-000-510195-,Employee Merit Pay,E,19982
1000,11,1120,515130,10000580,515130,,1000-11-13-1120-000000-000000-000-515130-,Social Security Tax,E,92386
1000,11,1120,515140,10000580,515140,,1000-11-13-1120-000000-000000-000-515140-,Empl Retirement Expns,E,86244
1000,11,1120,515150,10000580,515150,,1000-11-13-1120-000000-000000-000-515150-,Empl Insurance Premium,E,123253
1000,11,1120,515160,10000580,515160,,1000-11-13-1120-000000-000000-000-515160-,Retiree Insurance Premium,E,47194
1000,11,1120,515190,10000580,515190,,1000-11-13-1120-000000-000000-000-515190-,401K Retirement,E,36085
1000,11,1120,515200,10000580,515200,,1000-11-13-1120-000000-000000-000-515200-,Othr Empl Fringe Bnfts,E,4819
1000,11,1120,520050,10000580,520050,,1000-11-13-1120-000000-000000-000-520050-,Auto & Othr Allowances,E,300
